,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Acapulco de Juárez,5,MX,1587415287,66,-99.89,16.86,84.2,9.17
1,São João da Barra,1,BR,1587415578,65,-41.05,-21.63,77,11.41
2,Pisco,0,PE,1587415811,64,-76.22,-13.7,75.2,21.92
3,Beringovskiy,85,RU,1587415811,94,179.32,63.05,12.72,13.98
4,Clyde River,40,CA,1587415811,77,-68.59,70.47,3.2,8.05
5,Flagstaff,1,US,1587415604,30,-111.65,35.2,66,16.11
6,New Norfolk,23,AU,1587415812,83,147.06,-42.78,48,4.32
7,Loikaw,0,MM,1587415878,34,97.21,19.67,67.8,1.74
8,Ancud,52,CL,1587415878,66,-73.82,-41.87,55.4,5.82
9,Pailón,48,BO,1587415579,63,-64.87,-13.07,86.54,2.21
10,Hasaki,75,JP,1587415813,93,140.83,35.73,52,2.24
11,Turukhansk,100,RU,1587415814,97,87.98,65.82,33.93,6.64
12,Barrow,90,US,1587415762,91,-156.79,71.29,1.4,9.17
13,Cape Town,75,ZA,1587415739,93,18.42,-33.93,61,2.24
14,Saldanha,100,ZA,1587415880,77,17.94,-33.01,62.6,3.36
15,taolanaro,,,,,,,,
16,Butaritari,100,KI,1587415881,79,172.79,3.07,82.44,13.15
17,Saint Paul Harbor,90,US,1587415881,93,-152.41,57.79,44.6,5.82
18,Bengkulu,59,ID,1587415881,80,102.27,-3.8,78.21,4.88
19,marcona,,,,,,,,
20,Kapaa,1,US,1587415882,69,-159.32,22.08,78.8,11.41
21,illoqqortoormiut,,,,,,,,
22,Port Elizabeth,66,ZA,1587415681,77,25.57,-33.92,66.2,16.11
23,Dikson,100,RU,1587415883,97,80.55,73.51,31.08,22.64
24,Codrington,87,AU,1587415884,81,141.97,-38.27,52.88,14.03
25,Atuona,3,PF,1587415884,71,-139.03,-9.8,82.76,12.86
26,Kupang,3,ID,1587415884,78,123.58,-10.17,80.94,12.59
27,eldikan,,,,,,,,
28,Bluff,78,NZ,1587415885,96,168.33,-46.6,42.01,1.01
29,Port Hardy,75,CA,1587415803,87,-127.42,50.7,50,5.82
30,Albany,75,US,1587415809,23,-73.97,42.6,53.01,6.93
31,Arraial do Cabo,1,BR,1587415885,69,-42.03,-22.97,77,9.17
32,Busselton,18,AU,1587415886,66,115.33,-33.65,60.01,10.49
33,Jinka,48,ET,1587415887,65,36.65,5.65,62.78,3.53
34,Coquimbo,75,CL,1587415887,87,-71.34,-29.95,60.8,8.05
35,Iskateley,99,RU,1587415887,97,53.15,67.68,27.82,15.73
36,Glomfjord,90,NO,1587415887,100,13.97,66.82,41,12.75
37,Sola,86,VU,1587415888,74,167.55,-13.88,81.77,2.15
38,Bandar-e Lengeh,100,IR,1587415888,66,54.88,26.56,79.84,12.53
39,Cap Malheureux,23,MU,1587415888,89,57.61,-19.98,73,4
40,Xam Nua,6,LA,1587415888,54,104.04,20.42,68.72,2.35
