,City,Cloudiness,Country ,Date,Humidty,Lat,Lng,Max Temp,Wind Speed,Country
0,Kirakira,65,,1586913795,68,161.92,-10.45,87.13,8.93,SB
1,tabarqah,,,,,,,,,
2,Mezen',98,,1586913795,87,44.24,65.84,35.22,12.8,RU
3,Lebu,73,,1586913458,72,-73.65,-37.62,55.35,2.13,CL
4,Arraial do Cabo,20,,1586913455,88,-42.03,-22.97,75.2,14.99,BR
5,Dunda,100,,1586913796,68,34.25,-8.12,66.06,2.44,TZ
6,Podujevo,75,,1586913796,80,21.19,42.91,37,2.24,XK
7,Hofn,99,,1586913458,73,-15.21,64.25,38.05,16.42,IS
8,Saint-Philippe,2,,1586913459,83,55.77,-21.36,77,8.05,RE
9,Butaritari,66,,1586913416,80,172.79,3.07,83.66,17.02,KI
10,Sørland,72,,1586912923,,,,,,NO
11,Saldanha,15,,1586913459,87,17.94,-33.01,57.2,5.82,ZA
12,Cherskiy,89,,1586913460,95,161.3,68.75,8.46,10,RU
13,Menzel Kamel,38,,1586913799,93,10.67,35.62,64.99,9.17,TN
14,Carballo,88,,1586913799,100,-8.69,43.21,55,2.24,ES
15,Bambous Virieux,75,,1586913462,74,57.76,-20.34,78.8,16.11,MU
16,Hobart,75,,1586913318,87,147.33,-42.88,60.01,4.7,AU
17,Boyolangu,64,,1586913800,78,111.89,-8.12,79.12,2.51,ID
18,Ribeira Grande,75,,1586913320,76,-28.7,38.52,50,14.99,PT
19,Hermanus,1,,1586913329,93,19.23,-34.42,57.99,4.52,ZA
20,East London,100,,1586913292,70,27.91,-33.02,65.16,6.02,ZA
21,Bluff,100,,1586913316,95,168.33,-46.6,46.99,5.99,NZ
22,phan rang,,,,,,,,,
23,Faya,20,,1586913463,82,42.45,18.39,62.6,8.05,SA
24,Geraldton,40,,1586913464,60,114.6,-28.77,68,12.75,AU
25,Rocha,100,,1586913464,88,-54.33,-34.48,57.67,22.57,UY
26,Hithadhoo,41,,1586913464,65,73.08,-0.6,84.7,2.86,MV
27,Pevek,49,,1586913464,89,170.31,69.7,12.13,0.74,RU
28,Beringovskiy,100,,1586913465,97,179.32,63.05,26.58,11.45,RU
29,tsihombe,,,,,,,,,
30,Tanout,0,,1586913805,13,8.89,14.97,80.64,10.96,NE
